msv,msv,msv,20050913,D:\m2repo\repository\msv\msv\20050913\msv-20050913.jar,667496
2013.2.2,msv,xsdlib,2013.2.2,D:\m2repo\repository\net\java\dev\msv\xsdlib\2013.2.2\xsdlib-2013.2.2.jar,229490
2013.2.3,msv,xsdlib,2013.2.3,D:\m2repo\repository\net\java\dev\msv\xsdlib\2013.2.3\xsdlib-2013.2.3.jar,229491
2013.5.1,msv,xsdlib,2013.5.1,D:\m2repo\repository\net\java\dev\msv\xsdlib\2013.5.1\xsdlib-2013.5.1.jar,229869
2013.6.1,msv,xsdlib,2013.6.1,D:\m2repo\repository\net\java\dev\msv\xsdlib\2013.6.1\xsdlib-2013.6.1.jar,230631
2004.11.22,msv,xsdlib,2004.11.22,D:\m2repo\repository\net\java\dev\msv\xsdlib\2004.11.22\xsdlib-2004.11.22.jar,442983
2004.08.05,msv,xsdlib,2004.08.05,D:\m2repo\repository\net\java\dev\msv\xsdlib\2004.08.05\xsdlib-2004.08.05.jar,220946
ctp,ctp,cte4ctp,3.2.03.0,D:\ctp\V3.2.03.0\cte4ctp.jar,297786
ctp,ctp,cte4ctp,3.3.001.0,D:\ctp\V3.3.001.0\cte4ctp.jar,314799
ctp,ctp,cte4ctp,3.3.001.0,D:\ctp\V3.3.001.0\cte4ctp.jar,423049
ctp,ctp,cte4ctp,3.1.00.0,D:\ctp\V3.1.00.0\cte4ctp.jar,373725
ctp,ctp,cte4ctp,3.1.00.0,D:\ctp\V3.1.00.0\cte4ctp.jar,721531
jaxen,jaxen,jaxen-core,1.0-FCS,D:\m2repo\repository\org\jdom\jaxen-core\1.0-FCS\jaxen-core-1.0-FCS.jar,160967
jaxen,jaxen,jaxen-jdom,1.0-FCS,D:\m2repo\repository\org\jdom\jaxen-jdom\1.0-FCS\jaxen-jdom-1.0-FCS.jar,5881
relaxngDatatype,relaxngDatatype,relaxngDatatype,20020414,D:\m2repo\repository\relaxngDatatype\relaxngDatatype\20020414\relaxngDatatype-20020414.jar,19255
cglib,cglib,cglib,2.1.3,D:\m2repo\repository\cglib\cglib-2.1_3.jar,282338
cglib,cglib,cglib,2.1.3,D:\m2repo\repository\cglib\cglib-2.1_3.jar,285898
cglib,cglib,cglib,2.2.2,D:\m2repo\repository\cglib\cglib-2.2.2.jar,287192
cglib,cglib,cglib,2.2,D:\m2repo\repository\cglib\cglib-2.2.jar,278682
cglib,cglib,cglib,3.1,D:\m2repo\repository\cglib\cglib-3.1.jar,283080
cglib,cglib,cglib,3.2.0,D:\m2repo\repository\cglib\cglib-3.2.0.jar,284643
antlr,antlr,antlr-runtime,3.1.1,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.1.1.jar,116205
antlr,antlr,antlr-runtime,3.1.3,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.1.3.jar,150774
antlr,antlr,antlr-runtime,3.2,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.2.jar,151989
antlr,antlr,antlr-runtime,3.3,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.3.jar,163650
antlr,antlr,antlr-runtime,3.4,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.4.jar,164368
antlr,antlr,antlr-runtime,3.5.2,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.5.2.jar,167761
antlr,antlr,antlr-runtime,3.5,D:\m2repo\repository\org\antlr\antlr-runtime\antlr-runtime-3.5.jar,167735
antlr,antlr,antlr,2.7.2,D:\m2repo\repository\antlr\antlr\2.7.2\antlr-2.7.2.jar,358273
antlr,antlr,antlr,2.7.7,D:\m2repo\repository\antlr\antlr\2.7.7\antlr-2.7.7.jar,445288
antlr,antlr,antlr,2.7.1,D:\m2repo\repository\antlr\antlr\antlr-2.7.1.jar,71695
antlr,antlr,antlr,2.7.5,D:\m2repo\repository\antlr\antlr\antlr-2.7.5.jar,435563
antlr,antlr,antlr,2.7.6,D:\m2repo\repository\antlr\antlr\antlr-2.7.6.jar,443432
jaxb-api,jaxb,jaxb-api,2.0,D:\m2repo\repository\jaxb-api\jaxb-api-2.0.jar,73081
jaxb-api,jaxb,jaxb-api,2.1,D:\m2repo\repository\jaxb-api\jaxb-api-2.1.jar,89967
jaxb-api,jaxb,jaxb-api,2.2.1,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.1.jar,104554
jaxb-api,jaxb,jaxb-api,2.2.2,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.2.jar,105134
jaxb-api,jaxb,jaxb-api,2.2.3,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.3.jar,106733
jaxb-api,jaxb,jaxb-api,2.2.4,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.4.jar,105993
jaxb-api,jaxb,jaxb-api,2.2.5,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.5.jar,98310
jaxb-api,jaxb,jaxb-api,2.2.6,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.6.jar,99570
jaxb-api,jaxb,jaxb-api,2.2.7,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.7.jar,100146
jaxb-api,jaxb,jaxb-api,2.2,D:\m2repo\repository\jaxb-api\jaxb-api-2.2.jar,104172
ant-launcher,ant,ant-launcher,1.6.5,D:\m2repo\repository\ant-launcher\ant-launcher-1.6.5.jar,9180
ant-launcher,ant,ant-launcher,1.7.0,D:\m2repo\repository\ant-launcher\ant-launcher-1.7.0.jar,11734
ant-launcher,ant,ant-launcher,1.7.1,D:\m2repo\repository\ant-launcher\ant-launcher-1.7.1.jar,12143
ant-launcher,ant,ant-launcher,1.8.0,D:\m2repo\repository\ant-launcher\ant-launcher-1.8.0.jar,12277
ant-launcher,ant,ant-launcher,1.8.3,D:\m2repo\repository\ant-launcher\ant-launcher-1.8.3.jar,18432
ant-launcher,ant,ant-launcher,1.9.4,D:\m2repo\repository\ant-launcher\ant-launcher-1.9.4.jar,18381
reportNet,axis,axisReportNetClient,20040917,D:\m2repo\repository\axisReportNetClient\axisReportNetClient.jar,571870
log4j-flume,log4j,log4j-flume-ext,20160429,D:\m2repo\repository\log4j-flume-ext\log4j-flume-ext.jar,21992
junit,junit,junit,3.7,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-3.7.jar,117522
junit,junit,junit,3.8.1,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-3.8.1.jar,121070
junit,junit,junit,3.8.2,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-3.8.2.jar,120640
junit,junit,junit,3.8.2,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-3.8.2-ama.jar,130539
junit,junit,junit,3.8,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-3.8.jar,121658
junit,junit,junit,4.0,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.0.jar,105601
junit,junit,junit,4.1,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.1.jar,112249
junit,junit,junit,4.10,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.10.jar,253160
junit,junit,junit,4.11,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.11-beta-1.jar,244999
junit,junit,junit,4.11,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.11.jar,245039
junit,junit,junit,4.12,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.12-beta-1.jar,289996
junit,junit,junit,4.12,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.12-beta-2.jar,310680
junit,junit,junit,4.12,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.12-beta-3.jar,314944
junit,junit,junit,4.12,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.12.jar,314932
junit,junit,junit,4.2,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.2.jar,128268
junit,junit,junit,4.3.1,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.3.1.jar,106547
junit,junit,junit,4.3.1,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.3.1-csa.jar,116799
junit,junit,junit,4.3,/Users/huanghao/code/java/dagger/opensoft/junit/junit/junit-4.3.jar,249154
